ticker,company,section,industry
TIH,Toromont Industries Ltd.,Industrials,Industrial Distribution
TD,Toronto-Dominion Bank,Financial Services,Banks
TOU,Tourmaline Oil,Energy,Oil & Gas
TA,TransAlta Corporation,Utilities,Independent Power Producers
RNW,TransAlta Renewables Inc.,Utilities,Independent Power Producers
TCL.A,Transcontinental Inc.,Industrials,Business Services
TCN,Tricon Residential Inc.,Real Estate,Real Estate
TSU,Trisura Group Ltd.,Financial Services,Insurance
TRQ,Turquoise Hill Resources Ltd.,Basic Materials,Metals & Mining
VET,Vermilion Energy Inc.,Energy,Oil & Gas
VFF,"Village Farms International, Inc.",Consumer Defensive,Consumer Packaged Goods
WCN,Waste Connections Inc.,Industrials,Waste Management
WELL,WELL Health Technologies Corp.,Healthcare,Health Care Services
WDO,Wesdome Gold Mines Ltd.,Basic Materials,Metals & Mining
WFG,West Fraser Timber Co. Ltd.,Basic Materials,Forest Products
WPRT,Westport Fuel Systems Inc.,Consumer Cyclical,Vehicles & Parts
WTE,Westshore Terminals Investment Corporation,Industrials,Transportation
WPM,Wheaton Precious Metals Corp.,Basic Materials,Metals & Mining
WCP,Whitecap Resources Inc.,Energy,Oil & Gas
WPK,Winpak Ltd.,Consumer Cyclical,Packaging & Containers
WIR.UN,WPT Industrial Real Estate Investment Trust,Real Estate,REITs
WSP,WSP Global Inc.,Industrials,Construction
YRI,Yamana Gold Inc.,Basic Materials,Metals & Mining
